chr	DMR.start	DMR.end	DMR	direction	gene.name	gene.start	gene.end	strands	distance	meth.diff	adj.R2	rho	rho.p.val
NC_046363.1	3538100	3538292	DMR_1	hypermethylated	LOC118557730	3636267	3637000	-	97975	0.227213	NA	NA	NA
NC_046364.1	22883537	22883766	DMR_2	hypermethylated	cdh8	23011589	23126375	+	127823	0.22769	NA	NA	NA
NC_046366.1	7081208	7081367	DMR_3	hypermethylated	fggy	7075099	7105964	+	0	0.232569	-0.1	0.39	0.3956
NC_046367.1	16770264	16770423	DMR_4	hypermethylated	fgf14	16711110	16858206	+	0	0.225868	NA	NA	NA
NC_046373.1	281709	281971	DMR_5	hypermethylated	sox4a	384334	388914	-	102363	0.226979	-0.13	-0.63	0.1289
NC_046376.1	57649	57779	DMR_6	hypermethylated	LOC118566350	60886	64465	+	3107	0.224083	-0.14	0	1
NC_046376.1	37486144	37486331	DMR_7	hypermethylated	LOC110368333	37491953	37496611	-	5622	0.235694	NA	NA	NA
NC_046381.1	24998741	24998900	DMR_8	hypermethylated	vopp1	24931191	25003830	-	0	0.231184	NA	NA	NA
NC_046382.1	24016650	24016784	DMR_9	hypermethylated	pax2a	24040371	24080476	+	23587	0.239306	NA	NA	NA
NW_023397099.1	1670533	1670680	DMR_10	hypermethylated	LOC118561538	1746268	1836170	+	75588	0.206447	NA	NA	NA
