chr	pos	N_20-N4	N_5-N1	N_5-N2	N_20-N2	N_5-N3	N_20-N1	S_20-S1	S_20-S3	S_20-S4	S_5-S3	S_5-S4	S_5-S2	S_20-S2	S_5-S1
JXMV01065341.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065341.1:1:4652:1 REF	1827	0.82	0.57	0.30	0.45	0.60	0.10	0.55	0.57	0.74	0.72	0.71	0.43	1.00	0.74
KN805530.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805530.1:1:807053:1 REF	453250	0.77	0.77	0.69	0.73	0.73	0.47	0.95	0.92	0.78	0.82	0.61	0.95	0.67	0.92
KN805535.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805535.1:1:799646:1 REF	414192	0.79	0.73	0.89	0.77	0.91	0.89	0.92	1.00	0.62	0.79	0.88	0.95	0.77	0.30
KN805541.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805541.1:1:869461:1 REF	649966	0.85	1.00	0.81	0.98	0.91	0.42	0.88	0.78	0.70	0.88	0.66	0.79	1.00	1.00
KN805541.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805541.1:1:869461:1 REF	649983	0.63	0.74	0.78	0.47	0.84	0.96	0.73	0.75	0.74	0.72	0.69	0.75	1.00	1.00
KN805607.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805607.1:1:673418:1 REF	412781	0.42	0.92	0.84	0.71	0.69	0.69	0.77	0.86	0.92	0.68	0.92	0.74	0.83	0.90
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285262	0.89	0.92	0.95	0.88	0.75	0.83	0.89	0.94	0.84	0.79	0.88	0.81	0.87	0.60
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285275	0.85	0.95	0.97	0.89	0.91	0.75	0.90	0.89	0.86	0.84	0.88	0.87	0.80	0.88
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285278	0.90	0.89	0.90	0.89	0.93	0.92	0.90	0.91	0.91	0.86	0.84	0.90	0.87	0.81
KN805645.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805645.1:1:614549:1 REF	450810	0.79	0.77	0.57	0.45	0.93	0.59	0.83	0.81	0.80	0.67	0.79	0.71	0.73	0.83
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	200301	0.86	0.58	0.41	0.84	0.86	0.87	1.00	0.91	0.76	0.94	0.80	0.69	0.96	0.94
