chr	pos	NO_20-S1	NO_20-S3	NO_20-S4	NO_20-S2	OC_OC-S1	OC_OC-S2	OC_OC-S3	OC_OC-S5
JXMV01064171.1	3112	0.95	0.40	0.94	1.00	0.88	0.92	0.90	1.00
JXMV01064601.1	2626	0.37	0.11	0.39	0.14	0.24	0.15	0.22	0.36
JXMV01064793.1	724	0.88	0.93	1.00	0.98	0.56	0.63	0.50	0.42
KN805525.1	3135368	0.93	0.77	0.94	0.75	0.92	0.76	0.86	0.97
KN805525.1	3135370	0.88	0.91	0.98	1.00	0.94	0.65	0.93	0.97
KN805525.1	3135375	0.86	0.87	0.91	0.88	0.94	0.82	0.97	0.97
KN805525.1	3135381	0.91	0.95	0.97	1.00	0.98	0.82	0.90	1.00
KN805531.1	53516	0.31	0.20	0.11	0.11	0.23	0.10	0.14	0.24
KN805535.1	414192	0.92	1.00	0.62	0.77	0.82	0.77	0.92	0.86
KN805541.1	314311	0.16	0.23	0.17	0.30	0.25	0.22	0.14	0.33
KN805579.1	32093	0.76	0.69	0.73	0.24	0.67	0.32	0.28	0.25
KN805591.1	143317	0.92	0.78	0.96	0.72	0.86	0.43	0.70	0.67
KN805610.1	285262	0.89	0.94	0.84	0.87	0.80	0.80	0.89	0.38
KN805610.1	285275	0.90	0.89	0.86	0.80	0.86	0.87	0.87	0.47
KN805610.1	285278	0.90	0.91	0.91	0.87	0.86	0.85	0.87	0.47
KN805648.1	418161	0.83	0.88	0.91	1.00	0.57	0.97	0.95	1.00
KN805648.1	418193	0.84	0.65	0.80	0.92	0.93	0.96	0.70	1.00
KN805670.1	459533	0.23	0.36	0.33	0.14	0.21	0.23	0.20	0.14
KN805680.1	500372	0.81	0.53	0.70	0.82	0.82	0.67	0.38	0.63
KN805689.1	140343	0.75	0.75	0.74	0.35	0.62	0.83	0.64	0.78
KN805692.1	41974	0.64	1.00	1.00	1.00	0.94	0.95	0.97	1.00
KN805692.1	41980	1.00	0.96	0.98	1.00	1.00	0.95	0.97	1.00
KN805692.1	42007	1.00	1.00	0.97	1.00	1.00	0.95	0.40	1.00
KN805697.1	178997	0.86	0.61	0.71	0.25	0.78	0.40	0.57	0.80
KN805697.1	375041	0.70	0.70	0.74	0.38	0.54	0.80	0.58	0.75
KN805699.1	2433650	0.80	1.00	0.69	1.00	0.87	1.00	1.00	1.00
KN805699.1	2433656	1.00	0.92	0.68	1.00	1.00	1.00	1.00	1.00
KN805739.1	83952	1.00	0.95	0.88	0.95	1.00	0.91	0.86	1.00
KN805750.1	122053	0.88	0.85	0.83	0.69	0.88	0.79	0.89	0.86
KN805750.1	122065	0.87	0.89	0.94	0.94	0.93	0.94	0.92	0.93
KN805750.1	122071	0.76	0.97	0.94	0.94	0.83	0.89	0.93	1.00
KN805750.1	122078	0.84	0.91	0.93	0.71	0.91	0.95	0.91	1.00
KN805758.1	500227	0.75	0.58	0.64	1.00	0.59	0.27	0.64	0.16
KN805764.1	129028	0.82	0.69	0.82	0.61	0.88	0.77	0.82	0.50
KN805764.1	129052	0.72	0.59	0.51	0.51	0.76	0.57	0.64	0.43
KN805776.1	253072	0.61	0.56	0.64	0.50	0.76	0.75	0.59	1.00
KN805778.1	250092	0.27	0.48	0.57	0.63	0.49	0.55	0.38	0.65
KN805789.1	76305	0.93	0.97	1.00	1.00	0.48	1.00	0.70	1.00
KN805806.1	202789	0.90	0.87	0.85	0.92	0.84	0.85	0.89	1.00
KN805806.1	202796	0.56	0.83	0.72	0.52	0.52	0.72	0.72	0.60
KN805821.1	1720112	0.56	0.47	0.81	0.30	0.24	0.71	0.23	0.65
KN805858.1	253493	0.50	0.52	0.53	0.92	0.29	0.12	0.48	0.69
KN805858.1	288959	0.32	0.23	0.33	0.25	0.32	0.55	0.19	0.67
