NC_046361.1	5411834	5411928	0.045	0.511591	11	0.90636	0.39477
NC_046361.1	5420132	5420226	0.046	0.523636	11	0.91545	0.39182
NC_046361.1	41997840	41998004	0.011	0.489667	10	0.75867	0.269
NC_046362.1	18039751	18039824	0.00037	0.105833	12	0.10833	0.0025
NC_046363.1	6052206	6052595	0.0002	-0.420958	20	0.20467	0.62563
NC_046363.1	17138613	17138818	1e-06	0.353452	35	0.91181	0.55836
NC_046363.1	21695863	21695936	0.00037	0.105833	12	0.10833	0.0025
NC_046364.1	33298295	33298366	0.00029	0.391228	19	0.97596	0.58474
NC_046364.1	40892789	40892994	4.3e-05	0.344363	34	0.91569	0.57132
NC_046365.1	15852888	15853022	0.0011	0.158062	43	0.85922	0.70116
NC_046365.1	25243861	25243930	5.5e-05	0.122652	11	0.12333	0.00068182
NC_046365.1	37280358	37280777	2.2e-05	0.361643	35	0.83229	0.47064
NC_046366.1	8350099	8350791	0.00086	0.258587	46	0.8287	0.57011
NC_046367.1	1877553	1877699	0.048	0.161373	17	0.20961	0.048235
NC_046367.1	27169459	27169669	0.00093	0.326058	26	0.85154	0.52548
NC_046368.1	7384187	7385830	0.012	0.247284	27	0.84099	0.5937
NC_046368.1	19731588	19731685	0.027	0.115542	20	0.21767	0.10212
NC_046369.1	12059386	12059739	5.2e-08	-0.433292	20	0.17833	0.61163
NC_046369.1	23726159	23726654	0.00071	0.299375	24	0.82125	0.52187
NC_046369.1	23726654	23726719	0.002	0.402108	17	0.98549	0.58338
NC_046369.1	26223581	26223702	0.042	-0.284657	17	0.46078	0.74544
NC_046371.1	17982139	17982306	5.7e-05	-0.460083	20	0.29767	0.75775
NC_046372.1	34905273	34905447	0.0001	0.359479	32	0.83448	0.475
NC_046372.1	40417548	40417753	2.5e-06	0.358524	35	0.91552	0.557
NC_046373.1	2165693	2165800	0.0068	-0.477240	16	0.29104	0.76828
NC_046373.1	17202992	17203528	3.8e-08	0.347970	39	0.83932	0.49135
NC_046373.1	27407345	27407549	9.7e-11	0.265329	43	0.86922	0.6039
NC_046373.1	27557301	27557403	0.0044	0.120455	22	0.21773	0.097273
NC_046373.1	27614761	27614863	0.0044	0.120455	22	0.21773	0.097273
NC_046373.1	27657532	27657634	0.0044	0.120455	22	0.21773	0.097273
NC_046374.1	27454661	27454755	0.046	0.524318	11	0.91545	0.39114
NC_046374.1	27463307	27463401	0.046	0.524318	11	0.91545	0.39114
NC_046375.1	11676986	11677522	1.2e-08	0.352333	40	0.84383	0.4915
NC_046375.1	31651602	31651650	0.026	0.429615	13	0.92769	0.49808
NC_046376.1	25055497	25055708	0.0025	0.270160	26	0.88987	0.61971
NC_046376.1	37591094	37591178	0.016	0.118750	10	0.172	0.05325
NC_046381.1	2086896	2086990	0.046	0.524318	11	0.91545	0.39114
NC_046381.1	2095296	2095390	0.046	0.524318	11	0.91545	0.39114
NC_046381.1	2103821	2103915	0.046	0.524318	11	0.91545	0.39114
NC_046381.1	6070824	6070974	0.00053	0.253524	35	0.86381	0.61029
NC_046381.1	12584417	12584951	5.6e-06	0.321075	38	0.88246	0.56138
NC_046381.1	12601543	12601970	4e-05	0.327868	34	0.89412	0.56625
NC_046381.1	26132547	26132997	1.1e-07	0.349842	37	0.90586	0.55601
NC_046381.1	33303844	33304404	1.2e-07	0.342642	41	0.88935	0.54671
NC_046382.1	24016638	24016801	2.9e-06	0.295417	32	0.86917	0.57375
NC_046383.1	26686118	26686700	2e-09	0.282758	55	0.88594	0.60318
NC_046383.1	39015627	39015700	0.00021	0.102917	12	0.105	0.0020833
NW_023396522.1	97637	97781	0.0088	0.242738	14	0.37452	0.13179
NW_023396562.1	429896	430444	1.8e-07	0.344729	40	0.89067	0.54594
NW_023396625.1	144045	144147	0.0044	0.120455	22	0.21773	0.097273
NW_023396791.1	34994	35419	4e-08	-0.421268	23	0.19797	0.61924
NW_023396896.1	80231	80551	0.0022	0.149949	49	0.84224	0.6923
NW_023396934.1	1713667	1713740	6.8e-05	0.108472	12	0.11056	0.0020833
NW_023396996.1	13470	13616	0.048	0.161373	17	0.20961	0.048235
NW_023397044.1	1608779	1608864	0.0039	0.452222	21	0.88508	0.43286
NW_023397045.1	59900	59948	0.049	0.427692	13	0.92538	0.49769
NW_023397099.1	1670517	1670680	8.5e-06	0.293516	32	0.86094	0.56742
NW_023397202.1	16469	16563	0.046	0.524318	11	0.91545	0.39114
NW_023397461.1	628556	629582	2.2e-09	0.307403	43	0.69984	0.39244
