NC_046361.1	5411834	5411929	0.0007	-0.352222	18	0.56426	0.91648
NC_046361.1	5420132	5420227	0.00041	-0.357778	18	0.56426	0.92204
NC_046365.1	15020929	15020962	0.0043	-0.424667	10	0.44467	0.86933
NC_046365.1	15029545	15029578	0.0043	-0.424667	10	0.44467	0.86933
NC_046369.1	23714137	23714467	0.023	-0.566667	13	0.13256	0.69923
NC_046372.1	4663541	4663752	0.018	0.259000	10	0.96867	0.70967
NC_046373.1	14583752	14583847	0.00014	-0.370185	18	0.54944	0.91963
NC_046373.1	14592138	14592233	0.00014	-0.368889	18	0.55074	0.91963
NC_046373.1	37115424	37115457	0.0043	-0.424667	10	0.44467	0.86933
NC_046373.1	38547588	38547621	0.0094	-0.404000	10	0.48233	0.88633
NC_046374.1	20646130	20646225	0.00041	-0.368333	18	0.55148	0.91981
NC_046374.1	20654366	20654461	0.00041	-0.368333	18	0.55148	0.91981
NC_046374.1	27454661	27454756	0.00041	-0.357778	18	0.56426	0.92204
NC_046374.1	27463307	27463402	0.00041	-0.357778	18	0.56426	0.92204
NC_046381.1	2086896	2086991	0.00041	-0.358333	18	0.5637	0.92204
NC_046381.1	2095296	2095391	0.00041	-0.358333	18	0.5637	0.92204
NC_046381.1	2103821	2103916	0.00041	-0.357963	18	0.56407	0.92204
NC_046381.1	2490514	2490609	0.00041	-0.368148	18	0.55167	0.91981
NC_046381.1	2499039	2499134	0.00041	-0.368148	18	0.55167	0.91981
NC_046382.1	6733283	6733316	0.0043	-0.424667	10	0.44467	0.86933
NC_046382.1	6741702	6741735	0.0043	-0.424667	10	0.44467	0.86933
NW_023396813.1	3610477	3614932	0.0028	-0.213333	16	0.28667	0.5
NW_023397202.1	16469	16564	0.00041	-0.357778	18	0.56426	0.92204
