NC_046361.1	1586981	1587048	1	-0.176667	17	0.00085	0.0028	0.28627	0.46294
NC_046361.1	7535210	7535307	0.075	-0.362333	10	2.6e-06	2.3e-06	0.22767	0.59
NC_046361.1	41996976	41997284	1	-0.204056	15	0.0035	0.01	0.081111	0.28517
NC_046362.1	24080919	24080976	1	-0.139531	16	0.0058	0.016	0.21438	0.35391
NC_046363.1	16925514	16925605	1	-0.128819	12	0.0021	0.013	0.052222	0.18104
NC_046364.1	989185	989346	1	-0.236167	10	0.0076	0.0057	0.092333	0.3285
NC_046364.1	24325262	24325411	1	-0.169470	11	0.77	0.2	0.71848	0.88795
NC_046365.1	4901234	4901475	1	-0.165333	10	0.1	0.2	0.64367	0.809
NC_046365.1	20666298	20666415	1	-0.101000	10	0.021	0.039	0.093	0.194
NC_046365.1	21613760	21613822	1	-0.159861	12	0.00094	0.0034	0.047222	0.20708
NC_046365.1	36696223	36696418	1	-0.109427	16	0.049	0.033	0.14979	0.25922
NC_046366.1	1291588	1291830	1	-0.128917	10	0.13	0.12	0.69533	0.82425
NC_046366.1	24984900	24984995	1	-0.232917	10	0.0017	0.011	0.028333	0.26125
NC_046369.1	28650034	28650129	1	-0.253667	10	0.00075	0.00049	0.028333	0.282
NC_046372.1	4821689	4821865	1	-0.192167	10	0.017	0.053	0.075333	0.2675
NC_046372.1	9879588	9879678	1	-0.115083	10	0.0055	0.016	0.018667	0.13375
NC_046372.1	21662561	21662607	1	0.165417	10	0.25	0.33	0.82367	0.65825
NC_046372.1	49137005	49137041	1	-0.173500	10	0.0071	0.0095	0.57	0.7435
NC_046373.1	35122874	35123115	1	-0.152750	10	0.047	0.13	0.667	0.81975
NC_046373.1	37797346	37797646	1	0.157417	10	0.071	0.34	0.19367	0.03625
NC_046374.1	3665138	3665439	1	0.118333	10	0.11	0.083	0.47433	0.356
NC_046375.1	2493120	2493227	1	-0.207917	10	0.0034	0.02	0.059333	0.26725
NC_046375.1	17018776	17019024	1	-0.242333	10	0.059	0.12	0.59167	0.834
NC_046375.1	26712898	26712975	1	-0.176250	10	0.0073	0.077	0.207	0.38325
NC_046376.1	17076553	17076603	1	-0.228000	10	0.022	0.11	0.251	0.479
NC_046377.1	7234312	7234401	1	-0.172250	10	0.009	0.0041	0.085	0.25725
NC_046378.1	17854806	17854842	1	-0.153583	10	0.0031	0.006	0.59767	0.75125
NC_046378.1	19783831	19784046	1	0.101111	12	0.006	0.032	0.14528	0.044167
NC_046378.1	20477785	20478317	1	-0.131417	10	0.058	0.13	0.67133	0.80275
NC_046378.1	28649948	28650032	1	-0.220705	13	0.00076	0.00031	0.20179	0.4225
NC_046379.1	3528724	3529149	1	-0.180972	18	0.00052	0.0085	0.071667	0.25264
NC_046379.1	26196957	26197200	1	-0.218636	11	0.037	0.14	0.56909	0.78773
NC_046380.1	23957736	23957910	0.98	-0.442750	10	5.8e-06	3e-05	0.169	0.61175
NC_046381.1	30826904	30827143	0.69	-0.222576	11	0.00013	2.1e-05	0.092424	0.315
NC_046381.1	37911172	37911420	1	-0.169750	10	0.081	0.17	0.665	0.83475
NC_046382.1	5060691	5061758	1	-0.153250	10	0.018	0.015	0.584	0.73725
NC_046382.1	13238901	13239004	1	-0.232222	12	0.00047	0.0017	0.023611	0.25583
NC_046382.1	22498497	22498542	1	-0.144103	13	0.0066	0.015	0.21821	0.36231
NC_046382.1	28990686	28990712	1	-0.190000	10	0.0041	0.032	0.224	0.414
NC_046384.1	24343008	24343109	1	-0.327121	11	0.0011	0.00093	0.18424	0.51136
NW_023396524.1	261341	261582	1	-0.198750	10	0.037	0.11	0.622	0.82075
NW_023396529.1	366963	367212	1	-0.240000	10	0.059	0.12	0.594	0.834
NW_023396529.1	393570	393819	1	-0.240000	10	0.059	0.12	0.594	0.834
NW_023396606.1	40768	40860	1	0.260625	12	0.23	0.088	0.37583	0.11521
NW_023396689.1	916860	917103	1	-0.154015	11	0.061	0.14	0.63394	0.78795
NW_023396689.1	943814	943988	0.15	-0.456250	10	8.4e-07	4.5e-06	0.169	0.62525
NW_023396689.1	2232446	2232620	0.61	-0.513083	10	1.6e-08	1.9e-05	0.20967	0.72275
NW_023396715.1	111537	111591	1	-0.100167	10	0.22	0.53	0.28433	0.3845
NW_023396736.1	147901	148142	1	-0.107167	10	0.11	0.13	0.71533	0.8225
NW_023396803.1	2296736	2296984	1	-0.240000	10	0.059	0.12	0.594	0.834
NW_023396813.1	1342861	1342925	1	-0.116875	12	0.015	0.07	0.22417	0.34104
NW_023396813.1	2880189	2880430	1	-0.110500	10	0.12	0.13	0.711	0.8215
NW_023396824.1	2880911	2881005	1	-0.138083	10	0.0049	0.018	0.0016667	0.13975
NW_023396824.1	3200171	3200265	1	-0.138083	10	0.0049	0.018	0.0016667	0.13975
NW_023396824.1	3289592	3289879	1	0.282083	10	0.061	0.0011	0.93233	0.65025
NW_023396846.1	1067207	1067448	1	-0.209833	10	0.056	0.098	0.61467	0.8245
NW_023396846.1	2119991	2120239	1	-0.234000	10	0.039	0.11	0.589	0.823
NW_023396852.1	76960	77279	1	-0.207202	14	0.00046	0.0055	0.052619	0.25982
NW_023396868.1	690083	690154	1	-0.394833	10	6.3e-05	0.0004	0.20267	0.5975
NW_023396912.1	214567	215680	1	0.102083	12	0.0092	0.038	0.82833	0.72625
NW_023396912.1	1156214	1156916	1	-0.101389	15	0.06	0.2	0.57778	0.67917
NW_023396956.1	2315646	2316071	1	-0.194792	20	0.0012	0.0067	0.061333	0.25612
NW_023396956.1	2318980	2319405	1	-0.191833	20	0.0014	0.0067	0.061167	0.253
NW_023397011.1	924887	924948	1	-0.214250	10	0.0076	0.01	0.475	0.68925
NW_023397033.1	1787127	1787250	1	-0.212750	10	0.00048	0.00057	0.555	0.76775
NW_023397044.1	1534182	1534423	1	-0.137917	10	0.061	0.13	0.68633	0.82425
NW_023397066.1	277801	278042	1	-0.146917	10	0.064	0.13	0.68033	0.82725
NW_023397066.1	288146	288387	1	-0.146917	10	0.064	0.13	0.68033	0.82725
NW_023397066.1	1540122	1540365	1	-0.155379	11	0.064	0.14	0.6303	0.78568
NW_023397077.1	658602	658843	1	-0.107167	10	0.11	0.13	0.71533	0.8225
NW_023397219.1	1220732	1220758	1	-0.206417	10	2.9e-05	9.6e-05	0.043333	0.24975
NW_023397302.1	23934	24069	1	-0.312738	14	8.6e-06	0.00033	0.13762	0.45036
NW_023397340.1	416158	416399	1	-0.111000	10	0.14	0.32	0.698	0.809
NW_023397428.1	232660	232902	1	-0.138583	10	0.069	0.17	0.68567	0.82425
NW_023397450.1	200024	200311	1	-0.138788	11	0.19	0.12	0.36303	0.50182
NW_023397450.1	489686	489928	1	-0.135083	10	0.15	0.17	0.68267	0.81775
