chr	DMR.start	DMR.end	DMR	direction	gene.name	gene.start	gene.end	strands	distance	meth.diff	adj.R2	rho	rho.p.val
NC_046361.1	5411834	5411928	DMR_1	hypermethylated	LOC118556598	5395097	5431788	+	0	0.511591	NA	NA	NA
NC_046361.1	5420132	5420226	DMR_2	hypermethylated	LOC118556598	5395097	5431788	+	0	0.523636	NA	NA	NA
NC_046361.1	41997840	41998004	DMR_3	hypermethylated	LOC118563577	42005043	42038977	+	7039	0.489667	NA	NA	NA
NC_046362.1	18039751	18039824	DMR_4	hypermethylated	rasgrf1	17995641	18035437	-	-4315	0.105833	NA	NA	NA
NC_046363.1	6052206	6052595	DMR_5	hypomethylated	LOC110369139	5953681	6048047	+	-4160	-0.420958	-0.08	-0.25	0.5948
NC_046363.1	17138613	17138818	DMR_6	hypermethylated	sntb1	17087944	17147660	+	0	0.353452	-0.2	0.16	0.7357
NC_046363.1	21695863	21695936	DMR_7	hypermethylated	LOC105926375	21651008	21719990	-	0	0.105833	-0.19	0.22	0.6312
NC_046364.1	33298295	33298366	DMR_8	hypermethylated	LOC105919744	33441440	33481099	+	143074	0.391228	0.13	0.71	0.0881
NC_046364.1	40892789	40892994	DMR_9	hypermethylated	LOC105920405	40890922	40901638	-	0	0.344363	NA	NA	NA
NC_046365.1	15852888	15853022	DMR_10	hypermethylated	suclg1	15962794	15989532	-	109772	0.158062	0.61	0.68	0.1095
NC_046365.1	25243861	25243930	DMR_11	hypermethylated	LOC105918825	25241658	25242967	-	-895	0.122652	-0.2	-0.08	0.865
NC_046365.1	37280358	37280777	DMR_12	hypermethylated	arhgap10	37228639	37342588	-	0	0.361643	0.18	0.45	0.3104
NC_046366.1	8350099	8350791	DMR_13	hypermethylated	anxa13l	8345150	8359395	-	0	0.258587	-0.14	0.26	0.5704
NC_046367.1	1877553	1877699	DMR_14	hypermethylated	LOC118563631	1872553	1874466	+	-3088	0.161373	NA	NA	NA
NC_046367.1	27169459	27169669	DMR_15	hypermethylated	zmp:0000001200	27076916	27187685	-	0	0.326058	0.26	0.86	0.0238
NC_046368.1	7384187	7385830	DMR_16	hypermethylated	cacna1bb	7359734	7588576	+	0	0.247284	NA	NA	NA
