JXMV01065726.1	1101	1165	0.00035	-0.400952	14	0.3781	0.77905
KN805527.1	1239763	1239917	0.021	-0.295641	13	0.21615	0.51179
KN805527.1	2174158	2174312	0.021	-0.287179	13	0.21641	0.50359
KN805561.1	655878	655931	0.019	-0.229608	17	0.62333	0.85294
KN805922.1	211089	211142	0.019	-0.222745	17	0.62353	0.84627
KN806139.1	23420	23484	8.3e-05	-0.671000	10	0.20667	0.87767
KN806487.1	130260	130476	0.014	0.241000	10	0.982	0.741
KN806930.1	2254	2408	0.021	-0.279744	13	0.22308	0.50282
KN811298.1	195513	195667	0.012	-0.283590	13	0.22282	0.50641
KN811300.1	2057390	2057544	0.038	-0.273333	13	0.22282	0.49615
KN811317.1	2478456	2478603	0.0062	-0.297179	13	0.22308	0.52026
KN811321.1	578486	578795	0.032	-0.222424	22	0.090303	0.31273
KN811359.1	1157715	1157869	0.021	-0.295128	13	0.21641	0.51154
KN811371.1	397448	397611	0.00022	-0.233810	28	0.62095	0.85476
KN811384.1	437656	437724	8.2e-05	-0.501667	10	0.050667	0.55233
KN811464.1	714333	714407	0.01	-0.302632	19	0.42404	0.72667
